Time: 2025-02-18 00:47:51 | daxkqueue sold 263 LEATHER from spawner for 2209$ (Currency: VAULT)
Time: 2025-02-18 00:47:51 | daxkqueue sold 585 BEEF from spawner for 877$ (Currency: VAULT)
Time: 2025-02-18 01:14:24 | daxkqueue sold 297 POPPY from spawner for 74$ (Currency: VAULT)
Time: 2025-02-18 01:14:24 | daxkqueue sold 1234 IRON_INGOT from spawner for 1702$ (Currency: VAULT)
Time: 2025-02-18 01:45:55 | daxkqueue sold 5 LEATHER from spawner for 42$ (Currency: VAULT)
Time: 2025-02-18 01:45:55 | daxkqueue sold 13 BEEF from spawner for 19$ (Currency: VAULT)
Time: 2025-02-18 01:51:23 | daxkqueue sold 33 POPPY from spawner for 8$ (Currency: VAULT)
Time: 2025-02-18 01:51:23 | daxkqueue sold 124 IRON_INGOT from spawner for 334$ (Currency: VAULT)
Time: 2025-02-18 01:56:33 | daxkqueue sold 22 POPPY from spawner for 5$ (Currency: VAULT)
Time: 2025-02-18 01:56:33 | daxkqueue sold 119 IRON_INGOT from spawner for 321$ (Currency: VAULT)
Time: 2025-02-18 02:07:18 | daxkqueue sold 31 POPPY from spawner for 7$ (Currency: VAULT)
Time: 2025-02-18 02:10:01 | daxkqueue sold 106 LEATHER from spawner for 79$ (Currency: VAULT)
Time: 2025-02-18 02:10:01 | daxkqueue sold 210 BEEF from spawner for 52$ (Currency: VAULT)
Time: 2025-02-18 02:10:05 | daxkqueue sold 82 ROTTEN_FLESH from spawner for 246$ (Currency: VAULT)
Time: 2025-02-18 02:10:05 | daxkqueue sold 1 CARROT from spawner for 1$ (Currency: VAULT)
Time: 2025-02-18 02:10:16 | daxkqueue sold 15 POPPY from spawner for 3$ (Currency: VAULT)
Time: 2025-02-18 02:10:16 | daxkqueue sold 57 IRON_INGOT from spawner for 153$ (Currency: VAULT)
Time: 2025-02-18 02:11:03 | daxkqueue sold 8 POPPY from spawner for 2$ (Currency: VAULT)
Time: 2025-02-18 02:11:03 | daxkqueue sold 25 IRON_INGOT from spawner for 67$ (Currency: VAULT)
Time: 2025-02-18 02:11:47 | daxkqueue sold 120 GUNPOWDER from spawner for 600$ (Currency: VAULT)
Time: 2025-02-18 02:14:05 | daxkqueue sold 51 BLAZE_ROD from spawner for 510$ (Currency: VAULT)
Time: 2025-02-18 02:14:08 | daxkqueue sold 37 SPIDER_EYE from spawner for 55$ (Currency: VAULT)
Time: 2025-02-18 02:14:08 | daxkqueue sold 121 STRING from spawner for 42$ (Currency: VAULT)
Time: 2025-02-18 02:14:10 | daxkqueue sold 27 ROTTEN_FLESH from spawner for 81$ (Currency: VAULT)
Time: 2025-02-18 02:14:12 | daxkqueue sold 36 LEATHER from spawner for 27$ (Currency: VAULT)
Time: 2025-02-18 02:14:12 | daxkqueue sold 45 BEEF from spawner for 11$ (Currency: VAULT)
Time: 2025-02-18 02:15:34 | daxkqueue sold 21 BONE from spawner for 31$ (Currency: VAULT)
Time: 2025-02-18 02:15:34 | daxkqueue sold 16 ARROW from spawner for 12$ (Currency: VAULT)
Time: 2025-02-18 02:16:11 | daxkqueue sold 17 IRON_INGOT from spawner for 102$ (Currency: VAULT)
Time: 2025-02-18 02:16:11 | daxkqueue sold 27 POPPY from spawner for 6$ (Currency: VAULT)
Time: 2025-02-18 02:16:14 | daxkqueue sold 14 GUNPOWDER from spawner for 70$ (Currency: VAULT)
Time: 2025-02-18 02:16:17 | daxkqueue sold 2 BLAZE_ROD from spawner for 20$ (Currency: VAULT)
Time: 2025-02-18 02:16:19 | daxkqueue sold 5 STRING from spawner for 1$ (Currency: VAULT)
Time: 2025-02-18 02:16:19 | daxkqueue sold 1 SPIDER_EYE from spawner for 1$ (Currency: VAULT)
Time: 2025-02-18 02:16:21 | daxkqueue sold 1 ROTTEN_FLESH from spawner for 3$ (Currency: VAULT)
Time: 2025-02-18 02:16:23 | daxkqueue sold 4 LEATHER from spawner for 3$ (Currency: VAULT)
Time: 2025-02-18 02:16:23 | daxkqueue sold 10 BEEF from spawner for 2$ (Currency: VAULT)
Time: 2025-02-18 02:16:40 | daxkqueue sold 3 BONE from spawner for 4$ (Currency: VAULT)
Time: 2025-02-18 02:16:40 | daxkqueue sold 8 ARROW from spawner for 6$ (Currency: VAULT)
Time: 2025-02-18 02:17:53 | daxkqueue sold 21 IRON_INGOT from spawner for 126$ (Currency: VAULT)
